Date,Close
1993-02-01,100.70550751024123
1993-02-02,100.91033227127902
1993-02-03,101.97997269003187
1993-02-04,102.4123805188894
1993-02-05,102.34410559854348
1993-02-08,102.34410559854348
1993-02-09,101.63859808830225
1993-02-10,101.77514792899412
1993-02-11,102.2758306781976
1993-02-12,101.47928994082847
1993-02-16,98.9303595812472
1993-02-17,98.86208466090129
1993-02-18,98.79380974055536
1993-02-19,99.13518434228502
1993-02-22,99.49931725079662
1993-02-23,99.4310423304507
1993-02-24,100.70550751024132
1993-02-25,100.9103322712791
1993-02-26,101.06964041875293
1993-03-01,100.77378243058727
1993-03-02,102.27583067819765
1993-03-03,102.68548020027322
1993-03-04,102.13928083750581
1993-03-05,101.84342284934014
1993-03-08,104.11925352753768
1993-03-09,103.75512061902607
1993-03-10,103.98270368684581
1993-03-11,103.68684569868014
1993-03-12,102.6172052799273
1993-03-15,103.11788802913078
1993-03-16,103.11788802913078
1993-03-17,102.48065543923548
1993-03-18,103.1178880291308
1993-03-19,102.4806554392355
1993-03-22,101.91169776968611
1993-03-23,102.13928083750588
1993-03-24,102.13928083750588
1993-03-25,102.77651342740117
1993-03-26,102.2075557578518
1993-03-29,102.61720527992738
1993-03-30,102.91306326809304
1993-03-31,102.84478834774711
1993-04-01,102.48065543923552
1993-04-02,100.34137460172985
1993-04-05,100.8420573509333
1993-04-06,100.5689576695496
1993-04-07,100.91033227127926
1993-04-08,100.77378243058742
1993-04-12,102.20755575785185
1993-04-13,102.41238051888963
1993-04-14,102.27583067819776
1993-04-15,102.27583067819776
1993-04-16,102.27583067819776
1993-04-19,101.84342284934024
1993-04-20,101.3427401001368
1993-04-21,101.27446517979088
1993-04-22,100.00000000000027
1993-04-23,99.56759217114275
1993-04-26,98.79380974055557
1993-04-27,99.86345015930843
1993-04-28,99.63586709148868
1993-04-29,100.0682749203462
1993-04-30,100.20482476103805
1993-05-03,100.84205735093337
1993-05-04,101.20619025944497
1993-05-05,101.47928994082869
1993-05-06,101.13791533909904
1993-05-07,100.9103322712793
1993-05-10,101.13791533909907
1993-05-11,101.54756486117462
1993-05-12,101.41101502048278
1993-05-13,100.20482476103807
1993-05-14,100.13654984069215
1993-05-17,100.50068274920376
1993-05-18,100.40964952207587
1993-05-19,102.48065543923566
1993-05-20,102.77651342740133
1993-05-21,101.84342284934034
1993-05-24,102.27583067819785
1993-05-25,102.48065543923563
1993-05-26,103.75512061902627
1993-05-27,103.41374601729665
1993-05-28,102.9130632680932
1993-06-01,103.91442876650012
1993-06-02,103.7551206190263
1993-06-03,103.41374601729667
1993-06-04,103.04961310878508
1993-06-07,102.68548020027349
1993-06-08,101.77514792899447
1993-06-09,102.13928083750608
1993-06-10,102.20755575785199
1993-06-11,102.61720527992757
1993-06-14,102.48065543923572
1993-06-15,102.27583067819795
1993-06-16,102.48065543923572
1993-06-17,102.84478834774733
1993-06-18,101.27446517979102
1993-06-21,101.47928994082882
1993-06-22,101.54756486117473
1993-06-23,100.63723258989575
1993-06-24,101.9799726900323
1993-06-25,101.91169776968636
1993-06-28,103.04961310878515
1993-06-29,102.5489303595817
1993-06-30,102.5489303595817
1993-07-01,102.27583067819799
1993-07-02,101.7068730086486
1993-07-06,100.63723258989575
1993-07-07,100.91033227127949
1993-07-08,102.04824761037827
1993-07-09,102.34410559854395
1993-07-12,102.275830678198
1993-07-13,102.20755575785208
1993-07-14,102.54893035958173
1993-07-15,102.13928083750619
1993-07-16,101.84342284934051
1993-07-19,101.77514792899458
1993-07-20,102.0482476103783
1993-07-21,101.97997269003235
1993-07-22,101.27446517979111
1993-07-23,101.77514792899458
1993-07-26,102.34410559854396
1993-07-27,102.27583067819803
1993-07-28,102.0482476103783
1993-07-29,102.6172052799277
1993-07-30,102.04824761037834
1993-08-02,102.344105598544
1993-08-03,102.41238051888995
1993-08-04,102.41238051888995
1993-08-05,102.20755575785216
1993-08-06,102.34410559854403
1993-08-09,102.91306326809342
1993-08-10,102.84478834774748
1993-08-11,102.84478834774748
1993-08-12,102.54893035958182
1993-08-13,102.68548020027366
1993-08-16,103.27719617660505
1993-08-17,103.6185707783347
1993-08-18,104.18752844788408
1993-08-19,104.18752844788408
1993-08-20,104.25580336823002
1993-08-23,104.05097860719223
1993-08-24,105.188893946291
1993-08-25,105.25716886663695
1993-08-26,105.32544378698287
1993-08-27,105.25716886663695
1993-08-30,105.68957669549445
1993-08-31,105.96267637687818
1993-09-01,105.82612653618632
1993-09-02,105.46199362767472
1993-09-03,105.55302685480261
1993-09-07,104.8247610377794
1993-09-08,104.48338643604976
1993-09-09,104.68821119708755
1993-09-10,105.62130177514855
1993-09-13,105.68957669549448
1993-09-14,105.25716886663695
1993-09-15,105.55302685480264
1993-09-16,105.32544378698287
1993-09-17,104.25580336823002
1993-09-20,103.41374601729692
1993-09-21,103.04961310878534
1993-09-22,103.9144287665004
1993-09-23,104.48338643604977
1993-09-24,104.1875284478841
1993-09-27,105.3254437869829
1993-09-28,105.12061902594512
1993-09-29,104.75648611743354
1993-09-30,104.55166135639575
1993-10-01,105.0523441055992
1993-10-04,105.18889394629107
1993-10-05,105.05234410559923
1993-10-06,104.96131087847134
1993-10-07,104.68821119708764
1993-10-08,104.82476103777951
1993-10-11,105.05234410559927
1993-10-12,105.18889394629115
1993-10-13,105.18889394629115
1993-10-14,106.5316340464277
1993-10-15,107.1005917159771
1993-10-18,106.82749203459339
1993-10-19,106.03095129722426
1993-10-20,106.19025944469809
1993-10-21,106.03095129722429
1993-10-22,105.55302685480281
1993-10-25,105.82612653618652
1993-10-26,105.7578516158406
1993-10-27,105.82612653618652
1993-10-28,106.5999089667737
1993-10-29,106.5999089667737
